"path","url","type","title","h1","content_words","content_chars","structural_elements","depends_on_uploaded_document","document_link_count","external_link_count","external_link_result","keep_without_changes","merge_candidate","outdated_or_duplicate","content_quality","editorial_action","confidence","source"
"/vospitanie/dlya-roditelej/kak-ne-dopustit-suitsid-u-podrostka","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/dlya-roditelej/kak-ne-dopustit-suitsid-u-podrostka","статья","КАК НЕ ДОПУСТИТЬ СУИЦИД У ПОДРОСТКА","Для родителей","895","6423","ul=5","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/elektromonter","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/elektromonter","подраздел","Электромонтер","""","348","3129","ul=23; img=1","yes","2","13","not confirmed for 1 link(s)","review","no confirmed candidate","no confirmed canonical-page duplicate","incomplete: H1 missing","add a descriptive H1 before migration","medium","live production URL; sitemap inventory; main content extraction"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no1","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no1","документ","Практическая работа №1","Практическая работа №1","1252","7846","dl=1; ul=2; table=4; ol=4; img=1","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/vospitanie/razgovory-o-vazhnom","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/razgovory-o-vazhnom","статья","Разговоры о важном","Разговоры о важном","96","707","ul=3","no","0","0","none","review","no confirmed candidate","no confirmed canonical-page duplicate","too short for an article","expand or merge only after editorial review; do not silently drop","high","live production URL; sitemap inventory; main content extraction"
"/vospitanie/dlya-roditelej/kak-pomoch-podrostku-spravlyatsya-so-stressom","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/dlya-roditelej/kak-pomoch-podrostku-spravlyatsya-so-stressom","статья","Как помочь подростку справляться со стрессом.","Для родителей","657","5070","ol=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/vospitanie/dlya-roditelej/16-vazhnykh-pravil-pro-eto","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/dlya-roditelej/16-vazhnykh-pravil-pro-eto","статья","16 ВАЖНЫХ Правил, про ""Это!""","Для родителей","1048","6938","ol=13","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/private","https://xn--80aabgi1b2am.xn--p1ai/private","служебная","Политика в отношении обработки персональных данных","""","2107","17633","ul=7; table=1","no","0","0","none","review","no confirmed candidate","no confirmed canonical-page duplicate","service/legal page; editorial length not applicable","keep only if the privacy/legal function is still required; expose from footer/cookie notice","medium","live production URL; sitemap inventory; main content extraction"
"/abiturientu/professii/13-01-10-elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-po-otraslyam","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/13-01-10-elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-po-otraslyam","статья","13.01.10 Электромонтер по ремонту и обслуживанию электрооборудования (по отраслям)","13.01.10 Электромонтер по ремонту и обслуживанию электрооборудования (по отраслям)","71","596","ul=2","no","0","0","none","review","no confirmed candidate","no confirmed canonical-page duplicate","too short for an article","expand or merge only after editorial review; do not silently drop","high","live production URL; sitemap inventory; main content extraction"
"/vospitanie/prakticheskie-sovety-studentam","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/prakticheskie-sovety-studentam","статья","Практические советы студентам:","Воспитание","482","3551","ol=4","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no3","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no3","документ","Практическая работа №3","Практическая работа №3","595","5424","dl=1; ul=6","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/kip/prakticheskie-kip","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip","подраздел","ПР КИП МДК01.05","""","360","2956","dl=9","no","0","0","none","review","no confirmed candidate","no confirmed canonical-page duplicate","incomplete: H1 missing","add a descriptive H1 before migration","high","live production URL; sitemap inventory; main content extraction"
"/vospitanie/dlya-roditelej/nuzhno-li-obsuzhdat-s-rebenkom-temu-alkogolya-i-narkotikov","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/dlya-roditelej/nuzhno-li-obsuzhdat-s-rebenkom-temu-alkogolya-i-narkotikov","статья","НУЖНО ЛИ ОБСУЖДАТЬ С РЕБЕНКОМ ТЕМУ АЛКОГОЛЯ И НАРКОТИКОВ","Для родителей","854","6033","ol=12","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obo-mne/dostizheniya","https://xn--80aabgi1b2am.xn--p1ai/obo-mne/dostizheniya","подраздел","Достижения","Достижения","74","605","ul=23; img=33","yes","2","10","not confirmed for 1 link(s)","yes","no confirmed candidate","no confirmed canonical-page duplicate","media-rich page; text is short but 33 images carry content","preserve page and image sequence; add concise explanatory intro if needed","medium","live production URL; sitemap inventory; main content extraction"
"/vospitanie/dlya-roditelej/yuridicheskaya-otvetstvennost","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/dlya-roditelej/yuridicheskaya-otvetstvennost","статья","Юридическая ответственность","Для родителей","1173","9288","ol=9","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/abiturientu/professii/43-01-09-povar-konditer","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/43-01-09-povar-konditer","статья","43.01.09 Повар, кондитер","43.01.09 Повар, кондитер","204","1463","ul=3","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/abiturientu/spetsialnosti/ekonomika-i-bukhgalterskij-uchet-po-otraslyam","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/spetsialnosti/ekonomika-i-bukhgalterskij-uchet-po-otraslyam","статья","38.02.01 Экономика и бухгалтерский учет (по отраслям)","38.02.01 Экономика и бухгалтерский учет (по отраслям)","256","2160","ul=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/abiturientu/professii/15-01-05-svarshchik-ruchnoj-i-chastichno-mekhanizirovannoj-svarki-naplavki","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/15-01-05-svarshchik-ruchnoj-i-chastichno-mekhanizirovannoj-svarki-naplavki","статья","15.01.05 Сварщик ручной и частично механизированной сварки (наплавки)","15.01.05 Сварщик ручной и частично механизированной сварки (наплавки)","286","2337","ul=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/pm02/lektsii/razdel-1","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/pm02/lektsii/razdel-1","подраздел","Раздел 1","Раздел 1","197","1576","img=1","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/abiturientu","https://xn--80aabgi1b2am.xn--p1ai/abiturientu","раздел","Абитуриенту","Компьютерные системы и комплексы","552","4915","ul=23; iframe=4; img=2","yes","2","10","not confirmed for 1 link(s)","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","medium","live production URL; sitemap inventory; main content extraction"
"/obuchenie/pm02/lektsii","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/pm02/lektsii","подраздел","Лекции","Лекции","2129","18335","img=1; dl=5; table=1; ul=12; ol=3","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no4","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no4","документ","Практическая работа №4","Практическая работа №4","674","4624","dl=1; ul=3; img=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii/podgotovka-k-proizvodstvu-montazhnykh-rabot","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii/podgotovka-k-proizvodstvu-montazhnykh-rabot","статья","Подготовка к производству монтажных работ","Подготовка к производству монтажных работ","799","6593","dl=1; ul=1; img=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/vospitanie","https://xn--80aabgi1b2am.xn--p1ai/vospitanie","раздел","Воспитание","Воспитание","92","689","","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no9","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no9","документ","Практическая работа №9","Практическая работа №9","2209","15249","dl=1; ul=9; table=7","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no2","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no2","документ","Практическая работа №2","Практическая работа №2","594","3997","dl=1; ol=3; img=10","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii/priemka-obekta-pod-montazh","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii/priemka-obekta-pod-montazh","статья","Приемка объекта под монтаж","Приемка объекта под монтаж","489","4082","dl=1; ul=3","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii","подраздел","Тема 1.1 Организация работ по монтажу систем автоматизации","Тема 1.1 Организация работ по монтажу систем автоматизации","1940","16810","dl=5; table=1; ul=12; ol=3","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/kip","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip","подраздел","КИП","""","230","1768","ul=25; img=1","yes","4","21","not confirmed for 1 link(s)","review","no confirmed candidate","no confirmed canonical-page duplicate","incomplete: H1 missing","add a descriptive H1 before migration","medium","live production URL; sitemap inventory; main content extraction"
"/","https://xn--80aabgi1b2am.xn--p1ai/","главная","Обо мне","Бардаков Дмитрий Николаевич","218","1631","ul=23; img=19","yes","2","12","not confirmed for 2 link(s)","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","medium","live production URL; sitemap inventory; main content extraction"
"/vospitanie/dlya-roditelej/prakticheskie-sovety-roditelyam-vo-vremya-ekzamena","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/dlya-roditelej/prakticheskie-sovety-roditelyam-vo-vremya-ekzamena","статья","Практические советы родителям во время экзамена","Для родителей","620","4441","","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obo-mne/kontakty","https://xn--80aabgi1b2am.xn--p1ai/obo-mne/kontakty","контактная","Контакты","Контакты","43","312","dl=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","short but expected for contact page","preserve contact details; verify destination and privacy wording","high","live production URL; sitemap inventory; main content extraction"
"/vospitanie/dlya-roditelej","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/dlya-roditelej","подраздел","Для родителей","Для родителей","396","2919","ul=1; ol=1","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obo-mne/metodicheskaya-rabota","https://xn--80aabgi1b2am.xn--p1ai/obo-mne/metodicheskaya-rabota","подраздел","Методическая работа","Методическая работа","325","2911","ul=24; img=2","yes","3","42","not confirmed for 1 link(s)","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","medium","live production URL; sitemap inventory; main content extraction"
